,filename,image_id,id,defect_class_id,label,xy,x,y
0,1g_04.png,624,175683,7,Mononukleäre Zelle,"1354,1377.48,1330.52,1389.22,1330.52,1412.699,1350.087,1424.439,1357.913,1420.526,1365.74,1408.786,1365.74,1397.046","[1354.0, 1330.52, 1330.52, 1350.087, 1357.913, 1365.74, 1365.74]","[1377.48, 1389.22, 1412.699, 1424.439, 1420.526, 1408.786, 1397.046]"
1,1g_04.png,624,175664,7,Mononukleäre Zelle,"223.058,1804.029,199.578,1800.116,191.751,1815.769,203.491,1831.422,223.058,1835.335,226.971,1823.595","[223.058, 199.578, 191.751, 203.491, 223.058, 226.971]","[1804.029, 1800.116, 1815.769, 1831.422, 1835.335, 1823.595]"
2,1g_04.png,624,175634,7,Mononukleäre Zelle,"1549.665,1005.717,1545.751,1013.543,1541.838,1021.37,1541.838,1037.023,1557.491,1037.023,1565.318,1029.197,1569.231,1021.37,1561.405,1009.63,1557.491,1005.717","[1549.665, 1545.751, 1541.838, 1541.838, 1557.491, 1565.318, 1569.231, 1561.405, 1557.491]","[1005.717, 1013.543, 1021.37, 1037.023, 1037.023, 1029.197, 1021.37, 1009.63, 1005.717]"
3,1g_04.png,624,175654,7,Mononukleäre Zelle,"661.347,1678.803,637.867,1667.064,614.387,1674.89,622.214,1698.37,630.04,1694.457,633.954,1706.197,637.867,1725.763,653.52,1733.59,665.26,1710.11,669.173,1686.63","[661.347, 637.867, 614.387, 622.214, 630.04, 633.954, 637.867, 653.52, 665.26, 669.173]","[1678.803, 1667.064, 1674.89, 1698.37, 1694.457, 1706.197, 1725.763, 1733.59, 1710.11, 1686.63]"
4,1g_04.png,624,175633,7,Mononukleäre Zelle,"1784.462,1897.948,1796.202,1886.208,1804.029,1870.555,1780.549,1858.815,1772.723,1862.728,1776.636,1874.468,1780.549,1890.121","[1784.462, 1796.202, 1804.029, 1780.549, 1772.723, 1776.636, 1780.549]","[1897.948, 1886.208, 1870.555, 1858.815, 1862.728, 1874.468, 1890.121]"
5,1g_04.png,624,175682,7,Mononukleäre Zelle,"2563.208,1839.249,2563.208,1815.769,2551.468,1807.942,2531.902,1823.595,2524.075,1835.335,2527.988,1843.162,2535.815,1843.162","[2563.208, 2563.208, 2551.468, 2531.902, 2524.075, 2527.988, 2535.815]","[1839.249, 1815.769, 1807.942, 1823.595, 1835.335, 1843.162, 1843.162]"
6,1g_04.png,624,175685,7,Mononukleäre Zelle,"453.942,1686.63,453.942,1670.977,450.029,1659.237,442.202,1659.237,414.809,1670.977,422.636,1682.717,438.289,1694.457,450.029,1694.457","[453.942, 453.942, 450.029, 442.202, 414.809, 422.636, 438.289, 450.029]","[1686.63, 1670.977, 1659.237, 1659.237, 1670.977, 1682.717, 1694.457, 1694.457]"
7,1g_04.png,624,175638,7,Mononukleäre Zelle,"622.214,1209.208,610.474,1213.121,610.474,1224.861,618.301,1228.775,626.127,1217.035","[622.214, 610.474, 610.474, 618.301, 626.127]","[1209.208, 1213.121, 1224.861, 1228.775, 1217.035]"
8,1g_04.png,624,175656,7,Mononukleäre Zelle,"1541.838,1616.191,1553.578,1616.191,1561.405,1624.017,1557.491,1643.584,1549.665,1647.497,1541.838,1651.41,1537.925,1643.584,1534.012,1639.671,1537.925,1627.931","[1541.838, 1553.578, 1561.405, 1557.491, 1549.665, 1541.838, 1537.925, 1534.012, 1537.925]","[1616.191, 1616.191, 1624.017, 1643.584, 1647.497, 1651.41, 1643.584, 1639.671, 1627.931]"
9,1g_04.png,624,175687,7,Mononukleäre Zelle,"845.272,434.376,833.532,438.289,833.532,461.769,837.445,465.682,849.185,469.595,857.012,465.682,860.925,450.029,849.185,438.289,849.185,434.376","[845.272, 833.532, 833.532, 837.445, 849.185, 857.012, 860.925, 849.185, 849.185]","[434.376, 438.289, 461.769, 465.682, 469.595, 465.682, 450.029, 438.289, 434.376]"
10,1g_04.png,624,175673,7,Mononukleäre Zelle,"418.723,1741.416,406.983,1749.243,403.069,1780.549,422.636,1776.636,434.376,1760.983,434.376,1757.069","[418.723, 406.983, 403.069, 422.636, 434.376, 434.376]","[1741.416, 1749.243, 1780.549, 1776.636, 1760.983, 1757.069]"
11,1g_04.png,624,175667,7,Mononukleäre Zelle,"2218.838,2700.173,2226.665,2704.087,2234.491,2696.26,2242.318,2684.52,2238.405,2664.954,2230.578,2653.214,2222.751,2645.387,2211.012,2641.474,2195.358,2649.301,2195.358,2653.214,2203.185,2664.954,2214.925,2676.694","[2218.838, 2226.665, 2234.491, 2242.318, 2238.405, 2230.578, 2222.751, 2211.012, 2195.358, 2195.358, 2203.185, 2214.925]","[2700.173, 2704.087, 2696.26, 2684.52, 2664.954, 2653.214, 2645.387, 2641.474, 2649.301, 2653.214, 2664.954, 2676.694]"
12,1g_04.png,624,175691,7,Mononukleäre Zelle,"2254.058,2457.549,2234.491,2461.462,2230.578,2457.549,2218.838,2465.376,2211.012,2449.723,2218.838,2437.983,2254.058,2434.069,2257.971,2457.549","[2254.058, 2234.491, 2230.578, 2218.838, 2211.012, 2218.838, 2254.058, 2257.971]","[2457.549, 2461.462, 2457.549, 2465.376, 2449.723, 2437.983, 2434.069, 2457.549]"
13,1g_04.png,624,175695,7,Mononukleäre Zelle,"907.884,767.006,919.624,774.832,931.364,774.832,935.277,751.353,931.364,739.613,927.451,735.699,919.624,751.353,911.798,767.006","[907.884, 919.624, 931.364, 935.277, 931.364, 927.451, 919.624, 911.798]","[767.006, 774.832, 774.832, 751.353, 739.613, 735.699, 751.353, 767.006]"
14,1g_04.png,624,175699,7,Mononukleäre Zelle,"1639.671,1980.127,1627.931,1952.734,1608.364,1952.734,1604.451,1968.387,1608.364,1972.301,1624.017,1972.301","[1639.671, 1627.931, 1608.364, 1604.451, 1608.364, 1624.017]","[1980.127, 1952.734, 1952.734, 1968.387, 1972.301, 1972.301]"
15,1g_04.png,624,175640,7,Mononukleäre Zelle,"2379.283,2610.168,2383.197,2598.428,2371.457,2578.861,2351.89,2594.514,2347.977,2617.994,2355.803,2629.734,2375.37,2629.734,2383.197,2621.908","[2379.283, 2383.197, 2371.457, 2351.89, 2347.977, 2355.803, 2375.37, 2383.197]","[2610.168, 2598.428, 2578.861, 2594.514, 2617.994, 2629.734, 2629.734, 2621.908]"
16,1g_04.png,624,175690,7,Mononukleäre Zelle,"767.006,1596.624,755.266,1612.277,731.786,1624.017,731.786,1635.757,743.526,1643.584,755.266,1639.671,774.832,1624.017,774.832,1612.277","[767.006, 755.266, 731.786, 731.786, 743.526, 755.266, 774.832, 774.832]","[1596.624, 1612.277, 1624.017, 1635.757, 1643.584, 1639.671, 1624.017, 1612.277]"
17,1g_04.png,624,175658,7,Mononukleäre Zelle,"465.682,2226.665,453.942,2242.318,457.855,2265.798,473.509,2261.884,481.335,2254.058,489.162,2238.405,485.249,2222.751,477.422,2222.751,469.595,2226.665","[465.682, 453.942, 457.855, 473.509, 481.335, 489.162, 485.249, 477.422, 469.595]","[2226.665, 2242.318, 2265.798, 2261.884, 2254.058, 2238.405, 2222.751, 2222.751, 2226.665]"
18,1g_04.png,624,175635,7,Mononukleäre Zelle,"708.306,1494.879,677,1502.705,661.347,1522.272,657.434,1537.925,669.173,1545.751,688.74,1545.751,712.22,1530.098,712.22,1518.358,712.22,1494.879","[708.306, 677.0, 661.347, 657.434, 669.173, 688.74, 712.22, 712.22, 712.22]","[1494.879, 1502.705, 1522.272, 1537.925, 1545.751, 1545.751, 1530.098, 1518.358, 1494.879]"
19,1g_04.png,624,175670,7,Mononukleäre Zelle,"3224.555,2347.977,3259.775,2355.803,3259.775,2344.064,3259.775,2336.237,3251.948,2328.41,3240.208,2328.41,3228.468,2332.324","[3224.555, 3259.775, 3259.775, 3259.775, 3251.948, 3240.208, 3228.468]","[2347.977, 2355.803, 2344.064, 2336.237, 2328.41, 2328.41, 2332.324]"
20,1g_04.png,624,175647,7,Mononukleäre Zelle,"270.017,2406.676,277.844,2387.11,266.104,2375.37,242.624,2379.283,230.884,2379.283,226.971,2391.023,234.798,2406.676,254.364,2410.59,273.931,2410.59","[270.017, 277.844, 266.104, 242.624, 230.884, 226.971, 234.798, 254.364, 273.931]","[2406.676, 2387.11, 2375.37, 2379.283, 2379.283, 2391.023, 2406.676, 2410.59, 2410.59]"
21,1g_04.png,624,175637,7,Mononukleäre Zelle,"1729.676,1580.971,1745.329,1577.058,1753.156,1584.884,1753.156,1596.624,1745.329,1604.451,1733.59,1600.538,1725.763,1592.711","[1729.676, 1745.329, 1753.156, 1753.156, 1745.329, 1733.59, 1725.763]","[1580.971, 1577.058, 1584.884, 1596.624, 1604.451, 1600.538, 1592.711]"
22,1g_04.png,624,175696,7,Mononukleäre Zelle,"477.422,1651.41,461.769,1663.15,461.769,1674.89,469.595,1682.717,481.335,1682.717,489.162,1674.89,493.075,1670.977,493.075,1663.15","[477.422, 461.769, 461.769, 469.595, 481.335, 489.162, 493.075, 493.075]","[1651.41, 1663.15, 1674.89, 1682.717, 1682.717, 1674.89, 1670.977, 1663.15]"
23,1g_04.png,624,175645,7,Mononukleäre Zelle,"399.156,1753.156,391.329,1757.069,383.503,1749.243,375.676,1741.416,352.197,1753.156,344.37,1772.723,375.676,1792.289,391.329,1780.549,399.156,1776.636,403.069,1768.809","[399.156, 391.329, 383.503, 375.676, 352.197, 344.37, 375.676, 391.329, 399.156, 403.069]","[1753.156, 1757.069, 1749.243, 1741.416, 1753.156, 1772.723, 1792.289, 1780.549, 1776.636, 1768.809]"
24,1g_04.png,624,175678,7,Mononukleäre Zelle,"2547.555,1796.202,2527.988,1800.116,2512.335,1815.769,2516.249,1831.422,2520.162,1831.422,2527.988,1823.595,2543.642,1807.942","[2547.555, 2527.988, 2512.335, 2516.249, 2520.162, 2527.988, 2543.642]","[1796.202, 1800.116, 1815.769, 1831.422, 1831.422, 1823.595, 1807.942]"
25,1g_04.png,624,175639,7,Mononukleäre Zelle,"1502.705,915.711,1490.965,919.624,1475.312,919.624,1471.399,939.191,1455.746,947.017,1459.659,954.844,1475.312,947.017,1502.705,943.104,1506.618,927.451","[1502.705, 1490.965, 1475.312, 1471.399, 1455.746, 1459.659, 1475.312, 1502.705, 1506.618]","[915.711, 919.624, 919.624, 939.191, 947.017, 954.844, 947.017, 943.104, 927.451]"
26,1g_04.png,624,175693,7,Mononukleäre Zelle,"1647.497,2614.081,1624.017,2621.908,1616.191,2629.734,1620.104,2645.387,1635.757,2653.214,1651.41,2645.387,1663.15,2637.561,1663.15,2621.908,1659.237,2614.081","[1647.497, 1624.017, 1616.191, 1620.104, 1635.757, 1651.41, 1663.15, 1663.15, 1659.237]","[2614.081, 2621.908, 2629.734, 2645.387, 2653.214, 2645.387, 2637.561, 2621.908, 2614.081]"
