image_id,anno_id,pred_id,anno_class,pred_class,confidence,iou,match_type
624,,23746.0,,Defect,0.459061,0.0,false_positive
624,175680.0,23746.0,7.0,Defect,0.862112,0.6937251101577405,true_positive
624,175651.0,23746.0,7.0,Defect,0.455114,0.8311670367870071,true_positive
624,,23746.0,,Defect,0.2564,0.0,false_positive
624,,23746.0,,Defect,0.72502,0.0,false_positive
624,175662.0,23746.0,7.0,Defect,0.85457,0.6329355904753307,true_positive
624,175668.0,23746.0,7.0,Defect,0.336556,0.7513828362946977,true_positive
624,175630.0,23746.0,7.0,Defect,0.695725,0.6777457456747777,true_positive
624,175696.0,23746.0,7.0,Defect,0.944484,0.6785678387009517,true_positive
624,175685.0,23746.0,7.0,Defect,0.719562,0.7558564013858093,true_positive
624,175673.0,23746.0,7.0,Defect,0.917169,0.8498563285733695,true_positive
624,175645.0,23746.0,7.0,Defect,0.971473,0.8680465408572503,true_positive
624,,23746.0,,Defect,0.173045,0.0,false_positive
624,,23746.0,,Defect,0.292894,0.0,false_positive
624,175664.0,23746.0,7.0,Defect,0.626765,0.7713661139466851,true_positive
624,175655.0,23746.0,7.0,Defect,0.68251,0.7509353745817438,true_positive
624,,23746.0,,Defect,0.145209,0.0,false_positive
624,175672.0,23746.0,7.0,Defect,0.85856,0.8257647460587196,true_positive
624,,23746.0,,Defect,0.197709,0.0,false_positive
624,175658.0,23746.0,7.0,Defect,0.919725,0.7316236914118468,true_positive
624,,23746.0,,Defect,0.117936,0.0,false_positive
624,,23746.0,,Defect,0.773071,0.0,false_positive
624,175647.0,23746.0,7.0,Defect,0.766062,0.8592377440773264,true_positive
624,,23746.0,,Defect,0.51113,0.0,false_positive
624,,23746.0,,Defect,0.135569,0.0,false_positive
624,,23746.0,,Defect,0.362941,0.0,false_positive
624,,23746.0,,Defect,0.485812,0.0,false_positive
624,175665.0,23746.0,7.0,Defect,0.436445,0.7828327374167433,true_positive
624,175627.0,23746.0,7.0,Defect,0.934671,0.857356250969367,true_positive
624,175661.0,23746.0,7.0,Defect,0.928452,0.8244714811878352,true_positive
624,,23746.0,,Defect,0.297368,0.0,false_positive
624,175641.0,23746.0,7.0,Defect,0.793554,0.7757352204647786,true_positive
624,175689.0,23746.0,7.0,Defect,0.541114,0.779103793449365,true_positive
624,175687.0,23746.0,7.0,Defect,0.885216,0.8384922306796172,true_positive
624,,23746.0,,Defect,0.302422,0.0,false_positive
624,175650.0,23746.0,7.0,Defect,0.97067,0.8531766029522512,true_positive
624,175684.0,23746.0,7.0,Defect,0.29829,0.7160768604710576,true_positive
624,175648.0,23746.0,7.0,Defect,0.966399,0.8479522285262635,true_positive
624,,23746.0,,Defect,0.875794,0.0,false_positive
624,,23746.0,,Defect,0.510837,0.0,false_positive
624,175695.0,23746.0,7.0,Defect,0.860568,0.6588723453365894,true_positive
624,175681.0,23746.0,7.0,Defect,0.578382,0.8020688075016733,true_positive
624,,23746.0,,Defect,0.358919,0.0,false_positive
624,,23746.0,,Defect,0.321405,0.0,false_positive
624,175636.0,23746.0,7.0,Defect,0.872796,0.834594647978238,true_positive
624,,23746.0,,Defect,0.212609,0.0,false_positive
624,,23746.0,,Defect,0.122775,0.0,false_positive
624,175683.0,23746.0,7.0,Defect,0.932983,0.8917676924916512,true_positive
624,175635.0,23746.0,7.0,Defect,0.794722,0.8350560881465923,true_positive
624,175660.0,23746.0,7.0,Defect,0.688151,0.7050077422109775,true_positive
624,,23746.0,,Defect,0.47599,0.0,false_positive
624,175690.0,23746.0,7.0,Defect,0.834918,0.825079226098979,true_positive
